
M6E
                         COMUNICADO  2019 - 2 - G0377                        -1- F
 
PARA         : EMPRESAS ASOCIADAS 
5897916         79.9
4891902         79.9
8896952         79.9
5892970         79.9
4815998         79.9    
4896951         79.9
4899950         79.9
5897970         79.9
8664869         79.9
5897933         79.9
5896911         79.9
8661944         79.9
5592912         79.9
8614977         79.9
8892984         79.9
5592903         79.9
5516988         79.9
4811801         79.9
8896926         79.9
8663963         79.9
8896984         79.9
8812939         79.9
5599903         79.9
5895913         79.9
8811948         79.9
5895929         79.9
8664966         79.9
8899981         79.9
8663965         79.9
6515933         79.9
5811946         79.9
8896986         79.9

Adem s, renviamos la anterior lista de art¡culos DE PRECIOS IRRESIS-
TIBLES los cuales deber n exhibirlos junto con los art¡culos que se
han agregado.

ARTICULO        PRECIO
-----------     ------

8614941         79.90
5516925         59.90
5595970         59.90
5596970         59.90
5596971         59.90
5598971         59.90
5599959         59.90
5618986         59.90
5613905         69.90
5093910         79.90
5094910         79.90
5095960         79.90
5096910         79.90
5097960         79.90
5511924         79.90
5513411         79.90
5514957         79.90
5515412         79.90
5516412         79.90
5516909         79.90
5516957         79.90
5595929         79.90
5595931         79.90
5595939         79.90
5596929         79.90
5596939         79.90
5813912         79.90
5817913         79.90
5895953         79.90
5896953         79.90
5896990         79.90
6093990         79.90
6096990         79.90
6513914         79.90
6516940         79.90
6613942         79.90
7616939         79.90
0592901         59.90
1011916         59.90
1016911         59.90
1099987         59.90
1811955         59.90
1895929         59.90
1895944         59.90
2011916         59.90
2016911         59.90
2099987         59.90
3099987         59.90
3891913         59.90
4611920         59.90
0099613         69.90
0512441         69.90
0895971         69.90
0896630         69.90
0899630         69.90
1519966         69.90
1592910         69.90
1592920         69.90
1594912         69.90
1599912         69.90
1599966         69.90
1635500         69.90
1815987         69.90
1891914         69.90
1891940         69.90
1892951         69.90
1895998         69.90
1899951         69.90
2592910         69.90
2592924         69.90
2594912         69.90
2595906         69.90
2599906         69.90
2599912         69.90
2599966         69.90
2891914         69.90
2891940         69.90
2892951         69.90
2895991         69.90
2895998         69.90
2899951         69.90
3093952         69.90
3595906         69.90
3599906         69.90
3895998         69.90
3899948         69.90
4518925         69.90
4899948         69.90
0095933         79.90
0465818         79.90
0511900         79.90
0895954         79.90
1092922         79.90
1095677         79.90
1095933         79.90
1098919         79.90
1099919         79.90
1099943         79.90
1099955         79.90
1486841         79.90
1486885         79.90
1486895         79.90
1512919         79.90
1514810         79.90
1519926         79.90
1595909         79.90
1599918         79.90
1615427         79.90
1615602         79.90
1811908         79.90
1811928         79.90
1816919         79.90
1891921         79.90
1891925         79.90
1891955         79.90
1895954         79.90
1896951         79.90
1896972         79.90
1899967         79.90
1899972         79.90
1899975         79.90
1899999         79.90
2098919         79.90
2099919         79.90
2099923         79.90
2099955         79.90
2415923         79.90
2485841         79.90
2486841         79.90
2486885         79.90
2486895         79.90
2519926         79.90
2519935         79.90
2599918         79.90
2611422         79.90
2619912         79.90
2811908         79.90
2811928         79.90
2813910         79.90
2816919         79.90
2891921         79.90
2891925         79.90
2891955         79.90
2892901         79.90
2895949         79.90
2896907         79.90
2896937         79.90
2896951         79.90
2896963         79.90
2896972         79.90
2899698         79.90
2899939         79.90
2899952         79.90
2899967         79.90
2899972         79.90
2899975         79.90
2899986         79.90
3016993         79.90
3093964         79.90
3096964         79.90
3099964         79.90
3514935         79.90
3515803         79.90
3516801         79.90
3519926         79.90
3519935         79.90
3695500         79.90
3813910         79.90
3891921         79.90
3892901         79.90
3895907         79.90
3895956         79.90
3896907         79.90
3896935         79.90
3896963         79.90
3899939         79.90
3899952         79.90
3899966         79.90
3899967         79.90
3899972         79.90
3899982         79.90
3899986         79.90
4093964         79.90
4096964         79.90
4099964         79.90
4514935         79.90
4516801         79.90
4519935         79.90
4618901         79.90
4695500         79.90
4895907         79.90
4895956         79.90
4896907         79.90
4896935         79.90
4896963         79.90
4899966         79.90
4899972         79.90
4899982         79.90
4899986         79.90
2891912         59.90
3891912         59.90
8891104         59.90
4891912         69.90
4897917         69.90
5890917         69.90
5890918         69.90
5890919         69.90
5895972         69.90
5897972         69.90
4592922         79.90
4816834         79.90
4891907         79.90
4895900         79.90
4895913         79.90
4895929         79.90
4896915         79.90
4896927         79.90
4896931         79.90
4896990         79.90
4896992         79.90
4897911         79.90
4897918         79.90
4897925         79.90
4897931         79.90
4897932         79.90
4897949         79.90
4899309         79.90
4899310         79.90
4899929         79.90
4899931         79.90
5890913         79.90
5890914         79.90
5890915         79.90
5890916         79.90
5890920         79.90
5890921         79.90
5890922         79.90
5890923         79.90
5890928         79.90
5890929         79.90
5890932         79.90
5890933         79.90
5890934         79.90
5890935         79.90
5890936         79.90
5890937         79.90
5890938         79.90
5895933         79.90
5895948         79.90
5897936         79.90
5897951         79.90
8897916         79.90
8899990         79.90
1811300         79.90
2811300         79.90
2811301         79.90
3811300         79.90
3811301         79.90
4811300         79.90
4811301         79.90
5622817         59.90
5625815         59.90
5626805         59.90
5626806         59.90
5626815         59.90
5626816         59.90
5626817         59.90
5628805         59.90
5628806         59.90
5628816         59.90
5790488         59.90
8722802         59.90
8724802         59.90
8726802         59.90
8726809         59.90
8729802         59.90
8729809         59.90
8626811         69.90
8629811         69.90
8726810         69.90
8729810         69.90
5021468         79.90
8021468         79.90
9910924         59.90
9913974         59.90
9913979         59.90
9914938         59.90
9914948         59.90
9915922         59.90
9915972         59.90
9915979         59.90
9916924         59.90
9916938         59.90
9916948         59.90
9916970         59.90
9916974         59.90
9999906         59.90
9543794         69.90
9547084         69.90
9686340         69.90
9913824         69.90
9913905         69.90
9913910         69.90
9913922         69.90
9913928         69.90
9913962         69.90
9913982         69.90
9914920         69.90
9914981         69.90
9914989         69.90
9915824         69.90
9915905         69.90
9915920         69.90
9915976         69.90
9916922         69.90
9916928         69.90
9916932         69.90
9916962         69.90
9916976         69.90
9916981         69.90
9916982         69.90
9916989         69.90
9917910         69.90
9919903         69.90
9992900         69.90
9992905         69.90
9995922         69.90
9996920         69.90
9996922         69.90
9506980         79.90
9545084         79.90
9546084         79.90
9549084         79.90
9910907         79.90
9910940         79.90
9911900         79.90
9911902         79.90
9911924         79.90
9913926         79.90
9913937         79.90
9913965         79.90
9913973         79.90
9914801         79.90
9914803         79.90
9914804         79.90
9914949         79.90
9915904         79.90
9915906         79.90
9915924         79.90
9915926         79.90
9915945         79.90
9915949         79.90
9915971         79.90
9915973         79.90
9915990         79.90
9916814         79.90
9916822         79.90
9916926         79.90
9916937         79.90
9916940         79.90
9916945         79.90
9916949         79.90
9916963         79.90
9916968         79.90
9916969         79.90
9916973         79.90
9916990         79.90
9995911         79.90
9995923         79.90
9996911         79.90
9997910         79.90
9999923         79.90
9495897         59.90
9496801         59.90
9496802         59.90
9496881         59.90
9497804         59.90
9621754         59.90
9626754         59.90
9629754         59.90
9619876         69.90
9635066         69.90
9061000         79.90
9495869         79.90
9498896         79.90
9498899         79.90
9499889         79.90
9499898         79.90
9611901         79.90
9611904         79.90
9612776         79.90
9615776         79.90
9615903         79.90
9616774         79.90
9616901         79.90
9616904         79.90
9617903         79.90
9619774         79.90
9619902         79.90
9619903         79.90
9621779         79.90
9622779         79.90
9626779         79.90
9695801         79.90
9699801         79.90
 


 Agradeciendo la atenci¢n al presente.

 Atentamente,



    -------------------------
      EMPRESAS COMERCIALES S.A.

