6E
                         COMUNICADO  2019 - 2 - G0367                        -1- F
 
PARA         : EMPRESA ASOCIADA QUELBIN EIRL                                      
ASUNTO       : 40% EN EL 2DO PAR DE BOTAS Y/O ZAPATILLAS 
FECHA        : 19 de Julio del 2019
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 
 
 Por medio del presente, tenemos a bien informarles que a partir 
 del 20 de Julio del 2019 al 23 de Julio del 2019 los siguientes 
 articulos se estaran incluidos en la promocion 40% al 2do par BOTAS Y/O ZAPATILLAS
 
 
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
         50143     11-02    589-6979    40% 2do        1
         50143     11-02    681-5905    40% 2do        1
         50143     11-02    681-5909    40% 2do        5
         50143     11-02    681-5910    40% 2do        1
         50143     11-02    681-6904    40% 2do        1
         50143     11-02    681-6905    40% 2do        7
         50143     11-02    681-6908    40% 2do        8
         50143     11-02    681-6910    40% 2do        1
         50143     11-02    681-8908    40% 2do        1
         50143     11-02    689-2901    40% 2do        8
         50143     11-02    689-5901    40% 2do       12
         50143     11-02    689-6902    40% 2do        5
         50143     11-02    689-8901    40% 2do        7
         50143     11-02    689-9901    40% 2do        8
         50143     11-02    689-9902    40% 2do        9
         50143     11-05    559-2912    40% 2do        1
         50143     11-05    559-9903    40% 2do        2
         50143     11-05    659-6936    40% 2do        6
         50143     11-98    604-3804    40% 2do        6
         50143     11-98    604-6804    40% 2do        7
         50143     11-98    704-3818    40% 2do        7
         50143     11-98    704-6818    40% 2do        4
         50143     16-01    501-3900    40% 2do        8
         50143     16-01    501-3929    40% 2do        6
         50143     16-01    501-3954    40% 2do        9
         50143     16-01    501-3964    40% 2do        6
         50143     16-01    501-3967    40% 2do        5
         50143     16-01    501-3983    40% 2do        4
         50143     16-01    501-3992    40% 2do        2
         50143     16-01    501-3999    40% 2do        5
         50143     16-01    501-4991    40% 2do       10
         50143     16-01    501-6929    40% 2do        6
         50143     16-01    501-6954    40% 2do        7
         50143     16-01    501-6964    40% 2do        7
         50143     16-01    501-6967    40% 2do        1
         50143     16-01    501-6972    40% 2do        6
         50143     16-01    501-6975    40% 2do        4
         50143     16-01    501-6981    40% 2do        5
         50143     16-01    501-6983    40% 2do        2
         50143     16-01    501-6986    40% 2do        5
         50143     16-01    501-6991    40% 2do        6
         50143     16-01    501-6992    40% 2do        1
         50143     16-01    501-6999    40% 2do        3
         50143     16-01    501-8901    40% 2do        2
         50143     16-01    501-8930    40% 2do        2
         50143     16-01    501-8975    40% 2do        6
         50143     16-01    504-3805    40% 2do        8
         50143     16-01    504-3806    40% 2do        5
         50143     16-01    504-3807    40% 2do        1
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     16-01    504-4802    40% 2do        4
         50143     16-01    504-4805    40% 2do        6
         50143     16-01    504-5804    40% 2do        6
         50143     16-01    504-6802    40% 2do        4
         50143     16-01    504-6803    40% 2do        6
         50143     16-01    504-6804    40% 2do        3
         50143     16-01    504-6806    40% 2do        5
         50143     16-01    504-6807    40% 2do        6
         50143     16-01    504-6823    40% 2do        1
         50143     16-01    504-8823    40% 2do        3
         50143     16-01    509-3910    40% 2do        1
         50143     16-01    509-5960    40% 2do        3
         50143     16-01    509-5982    40% 2do        3
         50143     16-01    509-6910    40% 2do        6
         50143     16-01    509-6966    40% 2do        8
         50143     16-01    509-6969    40% 2do        2
         50143     16-01    509-6982    40% 2do        7
         50143     16-01    509-6988    40% 2do        7
         50143     16-01    509-7969    40% 2do        1
         50143     16-01    509-8982    40% 2do        7
         50143     16-01    601-2951    40% 2do        2
         50143     16-01    601-3910    40% 2do        1
         50143     16-01    601-3925    40% 2do        8
         50143     16-01    601-3928    40% 2do        9
         50143     16-01    601-3933    40% 2do        3
         50143     16-01    601-3962    40% 2do        8
         50143     16-01    601-3990    40% 2do        3
         50143     16-01    601-4910    40% 2do        5
         50143     16-01    601-4918    40% 2do        8
         50143     16-01    601-4924    40% 2do        5
         50143     16-01    601-6884    40% 2do        5
         50143     16-01    601-6885    40% 2do        7
         50143     16-01    601-6918    40% 2do        6
         50143     16-01    601-6924    40% 2do        7
         50143     16-01    601-6925    40% 2do        7
         50143     16-01    601-6926    40% 2do        6
         50143     16-01    601-6927    40% 2do        7
         50143     16-01    601-6928    40% 2do        6
         50143     16-01    601-6932    40% 2do        6
         50143     16-01    601-6933    40% 2do        5
         50143     16-01    601-6936    40% 2do        5
         50143     16-01    601-6938    40% 2do        7
         50143     16-01    601-6966    40% 2do        7
         50143     16-01    601-6990    40% 2do        1
         50143     16-01    601-7936    40% 2do        5
         50143     16-01    601-8926    40% 2do        7
         50143     16-01    601-8951    40% 2do        8
         50143     16-01    601-8952    40% 2do        7
         50143     16-01    603-5823    40% 2do        1
         50143     16-01    604-3803    40% 2do        4
         50143     16-01    604-3805    40% 2do        8
         50143     16-01    604-3807    40% 2do        5
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     16-01    604-3810    40% 2do        5
         50143     16-01    604-3911    40% 2do        2
         50143     16-01    604-3912    40% 2do        1
         50143     16-01    604-4811    40% 2do        7
         50143     16-01    604-4813    40% 2do        5
         50143     16-01    604-6803    40% 2do        1
         50143     16-01    604-6805    40% 2do        6
         50143     16-01    604-6806    40% 2do        6
         50143     16-01    604-6807    40% 2do        5
         50143     16-01    604-6810    40% 2do        1
         50143     16-01    604-6813    40% 2do        1
         50143     16-01    609-2932    40% 2do        5
         50143     16-01    609-3990    40% 2do        1
         50143     16-01    609-6915    40% 2do        6
         50143     16-01    609-6990    40% 2do        2
         50143     16-01    609-7915    40% 2do        7
         50143     16-01    701-3920    40% 2do        7
         50143     16-01    701-3940    40% 2do        8
         50143     16-01    701-3950    40% 2do        6
         50143     16-01    701-3953    40% 2do        7
         50143     16-01    701-3971    40% 2do        8
         50143     16-01    701-3974    40% 2do        5
         50143     16-01    701-3979    40% 2do        3
         50143     16-01    701-3984    40% 2do        6
         50143     16-01    701-3994    40% 2do        6
         50143     16-01    701-4949    40% 2do        1
         50143     16-01    701-4980    40% 2do        6
         50143     16-01    701-6920    40% 2do        6
         50143     16-01    701-6922    40% 2do        7
         50143     16-01    701-6940    40% 2do        5
         50143     16-01    701-6948    40% 2do        6
         50143     16-01    701-6950    40% 2do        6
         50143     16-01    701-6951    40% 2do        8
         50143     16-01    701-6953    40% 2do        8
         50143     16-01    701-6967    40% 2do        7
         50143     16-01    701-6971    40% 2do        7
         50143     16-01    701-6974    40% 2do        4
         50143     16-01    701-6976    40% 2do        1
         50143     16-01    701-6979    40% 2do        5
         50143     16-01    701-6980    40% 2do        7
         50143     16-01    701-6984    40% 2do        5
         50143     16-01    701-6985    40% 2do       11
         50143     16-01    701-6989    40% 2do        7
         50143     16-01    701-6994    40% 2do        3
         50143     16-01    701-8985    40% 2do        7
         50143     16-01    703-3802    40% 2do        6
         50143     16-01    703-4802    40% 2do        8
         50143     16-01    704-3811    40% 2do        7
         50143     16-01    704-3812    40% 2do        4
         50143     16-01    704-3819    40% 2do        7
         50143     16-01    704-3825    40% 2do        4
         50143     16-01    704-3827    40% 2do        5
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     16-01    704-5813    40% 2do        1
         50143     16-01    704-6811    40% 2do        7
         50143     16-01    704-6812    40% 2do        6
         50143     16-01    704-6813    40% 2do        6
         50143     16-01    704-6819    40% 2do        3
         50143     16-01    704-6827    40% 2do        3
         50143     16-01    709-3921    40% 2do        6
         50143     16-01    709-4981    40% 2do        3
         50143     16-01    709-5924    40% 2do        3
         50143     16-01    709-5985    40% 2do        7
         50143     16-01    709-6911    40% 2do        6
         50143     16-01    709-6921    40% 2do        4
         50143     16-01    709-6932    40% 2do        7
         50143     16-01    709-6977    40% 2do        6
         50143     16-01    709-6981    40% 2do        7
         50143     16-01    709-6985    40% 2do        3
         50143     16-01    709-6995    40% 2do        9
         50143     16-01    709-8921    40% 2do        7
         50143     16-01    709-8976    40% 2do        6
         50143     16-02    609-6917    40% 2do        6
         50143     16-02    609-8917    40% 2do        4
         50143     16-02    701-0918    40% 2do        4
         50143     16-02    701-1914    40% 2do        5
         50143     16-02    701-3400    40% 2do        8
         50143     16-02    701-3964    40% 2do        3
         50143     16-02    701-3988    40% 2do        2
         50143     16-02    701-3998    40% 2do        1
         50143     16-02    701-3999    40% 2do        6
         50143     16-02    701-5918    40% 2do        7
         50143     16-02    701-5919    40% 2do        6
         50143     16-02    701-5931    40% 2do        6
         50143     16-02    701-6400    40% 2do        8
         50143     16-02    701-6911    40% 2do        8
         50143     16-02    701-6914    40% 2do        3
         50143     16-02    701-6918    40% 2do        3
         50143     16-02    701-6919    40% 2do        6
         50143     16-02    701-6924    40% 2do        3
         50143     16-02    701-6931    40% 2do        7
         50143     16-02    701-6958    40% 2do        8
         50143     16-02    701-6964    40% 2do        8
         50143     16-02    701-6986    40% 2do        3
         50143     16-02    701-6988    40% 2do        6
         50143     16-02    701-6998    40% 2do        2
         50143     16-02    701-6999    40% 2do        6
         50143     16-02    701-8918    40% 2do        2
         50143     16-02    701-9931    40% 2do        6
         50143     16-02    701-9964    40% 2do        7
         50143     16-02    701-9986    40% 2do        6
         50143     16-02    701-9999    40% 2do        7
         50143     16-02    704-6817    40% 2do        6
         50143     16-02    709-5933    40% 2do        5
         50143     16-02    709-6907    40% 2do        4
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     16-02    709-6933    40% 2do        3
         50143     16-02    709-6990    40% 2do        1
         50143     16-02    709-8907    40% 2do        7
         50143     20-15    101-5913    40% 2do        1
         50143     20-15    109-3923    40% 2do        6
         50143     20-15    109-5944    40% 2do        5
         50143     20-15    109-5955    40% 2do        3
         50143     20-15    109-8919    40% 2do        4
         50143     20-15    109-9919    40% 2do        4
         50143     20-15    109-9955    40% 2do        5
         50143     20-20    189-6953    40% 2do        2
         50143     22-15    209-3923    40% 2do        5
         50143     22-15    209-5944    40% 2do        8
         50143     22-15    209-5955    40% 2do        2
         50143     22-15    209-8919    40% 2do        6
         50143     22-15    209-9919    40% 2do        5
         50143     22-15    209-9955    40% 2do        5
         50143     22-15    301-4838    40% 2do        5
         50143     22-15    301-6838    40% 2do        5
         50143     22-15    309-3958    40% 2do        5
         50143     22-15    309-4915    40% 2do        6
         50143     22-15    309-4966    40% 2do        5
         50143     22-15    309-5966    40% 2do        6
         50143     22-15    309-6915    40% 2do        6
         50143     22-15    309-6964    40% 2do        6
         50143     22-15    309-9964    40% 2do        6
         50143     22-15    401-4838    40% 2do        4
         50143     22-15    401-6838    40% 2do        4
         50143     22-15    409-3958    40% 2do        5
         50143     22-15    409-4915    40% 2do        6
         50143     22-15    409-4966    40% 2do        4
         50143     22-15    409-5966    40% 2do        5
         50143     22-15    409-6915    40% 2do        5
         50143     22-15    409-6964    40% 2do        2
         50143     22-15    409-9964    40% 2do        5
         50143     22-40    109-6900    40% 2do        4
         50143     22-40    209-5902    40% 2do        6
         50143     22-40    209-6900    40% 2do        3
         50143     23-02    251-9963    40% 2do        3
         50143     23-02    289-6953    40% 2do        4
         50143     23-03    351-9963    40% 2do        3
         50143     23-03    389-9979    40% 2do        3
         50143     23-04    489-9979    40% 2do        2
         50143     23-12    209-6919    40% 2do        5
         50143     23-13    304-7829    40% 2do        3
         50143     23-13    309-6919    40% 2do        6
         50143     23-14    404-7829    40% 2do        1
         50143     23-14    409-6919    40% 2do        5
         50143     25-01    101-5903    40% 2do        1
         50143     25-01    101-9919    40% 2do        6
         50143     25-01    109-1990    40% 2do        4
         50143     25-01    109-1991    40% 2do        1
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     25-01    109-5975    40% 2do        4
         50143     25-01    189-2951    40% 2do        6
         50143     25-01    189-9918    40% 2do        4
         50143     25-01    189-9972    40% 2do        4
         50143     25-02    201-1955    40% 2do        1
         50143     25-02    201-9919    40% 2do        6
         50143     25-02    209-5975    40% 2do        6
         50143     25-02    289-2901    40% 2do        8
         50143     25-02    289-2951    40% 2do        8
         50143     25-02    289-6972    40% 2do        1
         50143     25-02    289-9918    40% 2do        6
         50143     25-02    289-9972    40% 2do        1
         50143     25-02    289-9976    40% 2do        1
         50143     25-02    289-9978    40% 2do        5
         50143     25-02    289-9986    40% 2do        2
         50143     25-03    289-6931    40% 2do        6
         50143     25-03    301-6929    40% 2do        6
         50143     25-03    381-9301    40% 2do        1
         50143     25-03    389-1919    40% 2do        4
         50143     25-03    389-2901    40% 2do        3
         50143     25-03    389-6931    40% 2do        5
         50143     25-03    389-9919    40% 2do        2
         50143     25-03    389-9948    40% 2do        4
         50143     25-03    389-9972    40% 2do        1
         50143     25-03    389-9976    40% 2do        3
         50143     25-03    389-9978    40% 2do       11
         50143     25-03    389-9986    40% 2do        6
         50143     25-04    401-6929    40% 2do        6
         50143     25-04    489-6972    40% 2do        2
         50143     25-04    489-7928    40% 2do        1
         50143     25-04    489-9919    40% 2do        4
         50143     25-04    489-9948    40% 2do        5
         50143     25-04    489-9972    40% 2do        1
         50143     25-04    489-9976    40% 2do        4
         50143     25-04    489-9978    40% 2do        5
         50143     25-04    489-9986    40% 2do        5
         50143     25-40    101-5943    40% 2do        4
         50143     25-40    201-5943    40% 2do        4
         50143     25-40    201-9902    40% 2do        3
         50143     25-40    201-9950    40% 2do        4
         50143     25-40    301-9902    40% 2do        4
         50143     25-40    301-9950    40% 2do        4
         50143     33-05    501-2944    40% 2do        1
         50143     33-05    501-2953    40% 2do        4
         50143     33-05    501-3911    40% 2do        4
         50143     33-05    501-6944    40% 2do        2
         50143     33-05    581-3904    40% 2do        4
         50143     33-05    581-3906    40% 2do        6
         50143     33-05    581-3907    40% 2do        2
         50143     33-05    581-3923    40% 2do        4
         50143     33-05    581-3934    40% 2do        6
         50143     33-05    581-3976    40% 2do        9
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     33-05    581-5907    40% 2do        6
         50143     33-05    581-5945    40% 2do        5
         50143     33-05    581-6994    40% 2do        1
         50143     33-05    581-7904    40% 2do        8
         50143     33-05    581-7906    40% 2do        3
         50143     33-05    581-7976    40% 2do       10
         50143     33-05    581-7977    40% 2do        2
         50143     33-05    581-9923    40% 2do        5
         50143     33-05    581-9926    40% 2do        5
         50143     33-05    581-9934    40% 2do        4
         50143     33-05    581-9997    40% 2do        3
         50143     33-05    583-2866    40% 2do        3
         50143     33-05    583-6899    40% 2do        4
         50143     33-05    586-9813    40% 2do        1
         50143     33-05    589-6923    40% 2do        7
         50143     33-05    589-6946    40% 2do        8
         50143     33-05    589-9923    40% 2do        5
         50143     33-06    801-9951    40% 2do        5
         50143     33-06    801-9988    40% 2do        1
         50143     33-06    881-2924    40% 2do        4
         50143     33-06    881-2959    40% 2do        5
         50143     33-06    881-2964    40% 2do        2
         50143     33-06    881-2977    40% 2do        3
         50143     33-06    881-2987    40% 2do        8
         50143     33-06    881-3968    40% 2do        2
         50143     33-06    881-3983    40% 2do        3
         50143     33-06    881-6954    40% 2do        1
         50143     33-06    881-6999    40% 2do        1
         50143     33-06    881-7911    40% 2do        1
         50143     33-06    881-7964    40% 2do        5
         50143     33-06    881-7977    40% 2do        2
         50143     33-06    881-7982    40% 2do        3
         50143     33-06    881-7987    40% 2do       12
         50143     33-06    881-8937    40% 2do        3
         50143     33-06    881-9981    40% 2do        1
         50143     33-06    883-2866    40% 2do        1
         50143     33-06    886-4871    40% 2do        1
         50143     33-06    886-6877    40% 2do        1
         50143     33-06    889-2984    40% 2do        1
         50143     33-06    889-6984    40% 2do        1
         50143     34-01    501-6907    40% 2do        5
         50143     34-01    581-1948    40% 2do        4
         50143     34-01    581-3903    40% 2do        4
         50143     34-01    581-5906    40% 2do        6
         50143     34-01    581-6900    40% 2do        5
         50143     34-01    581-7911    40% 2do       13
         50143     34-01    581-7960    40% 2do        1
         50143     34-01    581-9951    40% 2do        6
         50143     34-01    581-9960    40% 2do        2
         50143     34-01    589-1949    40% 2do       11
         50143     34-01    589-1996    40% 2do        9
         50143     34-01    589-2922    40% 2do       13
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     34-01    589-2924    40% 2do        1
         50143     34-01    589-2931    40% 2do        4
         50143     34-01    589-2947    40% 2do        8
         50143     34-01    589-2956    40% 2do        4
         50143     34-01    589-2957    40% 2do        6
         50143     34-01    589-2978    40% 2do        1
         50143     34-01    589-2984    40% 2do        5
         50143     34-01    589-2985    40% 2do        6
         50143     34-01    589-5922    40% 2do       10
         50143     34-01    589-5941    40% 2do        7
         50143     34-01    589-5943    40% 2do        4
         50143     34-01    589-5980    40% 2do        7
         50143     34-01    589-6908    40% 2do        3
         50143     34-01    589-6913    40% 2do        6
         50143     34-01    589-6924    40% 2do        9
         50143     34-01    589-6954    40% 2do        1
         50143     34-01    589-6975    40% 2do        7
         50143     34-01    589-6984    40% 2do        4
         50143     34-01    589-6999    40% 2do        3
         50143     34-01    589-7909    40% 2do        2
         50143     34-01    589-7916    40% 2do        5
         50143     34-01    589-7924    40% 2do        8
         50143     34-01    589-7934    40% 2do       14
         50143     34-01    589-7935    40% 2do       14
         50143     34-01    589-7941    40% 2do        7
         50143     34-01    589-7949    40% 2do        7
         50143     34-01    589-7958    40% 2do        6
         50143     34-01    589-7985    40% 2do        5
         50143     34-01    589-9912    40% 2do        1
         50143     34-01    589-9916    40% 2do        3
         50143     34-01    589-9967    40% 2do        3
         50143     34-01    589-9980    40% 2do        4
         50143     34-02    881-2972    40% 2do       10
         50143     34-02    881-7935    40% 2do        1
         50143     34-02    881-9955    40% 2do        1
         50143     34-02    889-1949    40% 2do        5
         50143     34-02    889-2923    40% 2do        9
         50143     34-02    889-2929    40% 2do        9
         50143     34-02    889-2950    40% 2do        8
         50143     34-02    889-6913    40% 2do        2
         50143     34-02    889-6944    40% 2do        5
         50143     34-02    889-6946    40% 2do        2
         50143     34-02    889-6951    40% 2do        7
         50143     34-02    889-6952    40% 2do        2
         50143     34-02    889-6955    40% 2do        3
         50143     34-02    889-6958    40% 2do        7
         50143     34-02    889-6962    40% 2do        7
         50143     34-02    889-6982    40% 2do        3
         50143     34-02    889-6986    40% 2do        1
         50143     34-02    889-6995    40% 2do        4
         50143     34-02    889-6998    40% 2do        2
         50143     34-02    889-7923    40% 2do        8
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     34-02    889-7934    40% 2do       10
         50143     34-02    889-7935    40% 2do        9
         50143     34-02    889-7956    40% 2do        4
         50143     34-02    889-7989    40% 2do        6
         50143     34-02    889-9966    40% 2do        1
         50143     34-03    589-2948    40% 2do        6
         50143     34-03    589-2949    40% 2do        4
         50143     34-03    589-6943    40% 2do        1
         50143     34-03    589-9943    40% 2do        1
         50143     35-01    801-1911    40% 2do        7
         50143     35-01    801-1973    40% 2do        1
         50143     35-01    801-2413    40% 2do        8
         50143     35-01    801-2415    40% 2do        7
         50143     35-01    801-6415    40% 2do        7
         50143     35-01    801-6911    40% 2do        6
         50143     35-01    801-6973    40% 2do        3
         50143     35-01    801-6999    40% 2do        6
         50143     35-01    801-9413    40% 2do        8
         50143     35-01    801-9901    40% 2do        1
         50143     35-01    851-1963    40% 2do        1
         50143     35-01    851-3950    40% 2do        8
         50143     35-01    851-3954    40% 2do        8
         50143     35-01    851-9950    40% 2do        4
         50143     35-01    851-9954    40% 2do        5
         50143     35-01    881-1474    40% 2do        8
         50143     35-01    881-1902    40% 2do        1
         50143     35-01    881-1925    40% 2do        1
         50143     35-01    881-1932    40% 2do        7
         50143     35-01    881-1938    40% 2do        6
         50143     35-01    881-1995    40% 2do        6
         50143     35-01    881-1996    40% 2do        2
         50143     35-01    881-1997    40% 2do        6
         50143     35-01    881-2902    40% 2do        1
         50143     35-01    881-2918    40% 2do        7
         50143     35-01    881-2921    40% 2do        7
         50143     35-01    881-2922    40% 2do        9
         50143     35-01    881-2941    40% 2do        5
         50143     35-01    881-2953    40% 2do        8
         50143     35-01    881-2995    40% 2do       14
         50143     35-01    881-2999    40% 2do        8
         50143     35-01    881-3918    40% 2do        8
         50143     35-01    881-3951    40% 2do        6
         50143     35-01    881-3999    40% 2do        6
         50143     35-01    881-4900    40% 2do        1
         50143     35-01    881-4901    40% 2do        2
         50143     35-01    881-4942    40% 2do        6
         50143     35-01    881-4996    40% 2do        1
         50143     35-01    881-5457    40% 2do        9
         50143     35-01    881-5942    40% 2do        8
         50143     35-01    881-5999    40% 2do        6
         50143     35-01    881-6405    40% 2do        8
         50143     35-01    881-6412    40% 2do        7
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     35-01    881-6418    40% 2do        7
         50143     35-01    881-6457    40% 2do       10
         50143     35-01    881-6458    40% 2do        8
         50143     35-01    881-6969    40% 2do        3
         50143     35-01    881-6979    40% 2do        1
         50143     35-01    881-7922    40% 2do        7
         50143     35-01    881-7925    40% 2do        2
         50143     35-01    881-7940    40% 2do        3
         50143     35-01    881-7942    40% 2do        7
         50143     35-01    881-7951    40% 2do        3
         50143     35-01    881-7984    40% 2do        6
         50143     35-01    881-7995    40% 2do       12
         50143     35-01    881-9412    40% 2do        7
         50143     35-01    881-9458    40% 2do        8
         50143     35-01    881-9925    40% 2do        9
         50143     35-01    881-9944    40% 2do        6
         50143     35-01    881-9952    40% 2do        1
         50143     35-01    883-6482    40% 2do        5
         50143     35-01    883-7482    40% 2do        5
         50143     35-01    883-9482    40% 2do        5
         50143     35-01    889-1903    40% 2do        6
         50143     35-01    889-1938    40% 2do        8
         50143     35-01    889-2919    40% 2do        9
         50143     35-01    889-2931    40% 2do        6
         50143     35-01    889-2936    40% 2do        2
         50143     35-01    889-2949    40% 2do        6
         50143     35-01    889-2959    40% 2do        8
         50143     35-01    889-2960    40% 2do        9
         50143     35-01    889-2965    40% 2do        9
         50143     35-01    889-3931    40% 2do        6
         50143     35-01    889-3936    40% 2do        7
         50143     35-01    889-3949    40% 2do        4
         50143     35-01    889-4919    40% 2do       11
         50143     35-01    889-6423    40% 2do        5
         50143     35-01    889-6926    40% 2do        1
         50143     35-01    889-6938    40% 2do        4
         50143     35-01    889-6965    40% 2do        5
         50143     35-01    889-7903    40% 2do        8
         50143     35-01    889-7919    40% 2do       11
         50143     35-01    889-7931    40% 2do        8
